Wavelength (nm),n,k
1060.5295,1.73198,0.02773
1063.9183,1.73097,0.02801
1067.3077,1.72996,0.02829
1070,1.72915,0.02851
1070.6975,1.72894,0.02857
1074.0878,1.72793,0.02885
1077.4786,1.72692,0.02913
1080,1.72616,0.02935
1080.87,1.7259,0.02942
1084.2618,1.72488,0.02971
1087.6542,1.72386,0.03
1090,1.72316,0.0302
1091.0471,1.72284,0.03029
1094.4404,1.72182,0.03058
1097.8342,1.72079,0.03088
1100,1.72014,0.03107
1101.2288,1.71977,0.03118
1104.6235,1.71874,0.03148
1108.0189,1.71771,0.03178
1110,1.71711,0.03196
1111.4148,1.71668,0.03208
1114.8113,1.71564,0.03239
1118.2081,1.71461,0.0327
1120,1.71406,0.03286
1121.6056,1.71357,0.03301
1125.0035,1.71253,0.03332
1128.402,1.71149,0.03364
1130,1.711,0.03379
1131.8009,1.71045,0.03395
1135.2003,1.70941,0.03427
1138.6002,1.70836,0.03459
1140,1.70793,0.03473
1142.0007,1.70731,0.03492
1145.4016,1.70626,0.03524
1148.8031,1.70521,0.03557
1150,1.70484,0.03569
1152.2051,1.70416,0.0359
1155.6075,1.7031,0.03623
1159.0105,1.70205,0.03657
1160,1.70174,0.03666
1162.4141,1.70099,0.0369
1165.818,1.69993,0.03724
1169.2225,1.69887,0.03758
1170,1.69862,0.03766
1172.6276,1.6978,0.03792
1176.033,1.69673,0.03827
1179.4391,1.69567,0.03862
1180,1.69549,0.03867
1182.8456,1.6946,0.03897
1186.2527,1.69352,0.03932
1189.6602,1.69245,0.03967
1190,1.69234,0.03971
1193.0681,1.69137,0.04003
1196.4768,1.69029,0.04039
1199.8857,1.68921,0.04075
1200,1.68918,0.04076
1203.2953,1.68813,0.04111
1206.7053,1.68705,0.04148
1210,1.686,0.04183
1210.116,1.68596,0.04185
1213.5271,1.68487,0.04222
1216.9386,1.68378,0.04259
1220,1.6828,0.04293
1220.3507,1.68269,0.04297
1223.7633,1.68159,0.04334
1227.1764,1.6805,0.04372
1230,1.67959,0.04404
1230.59,1.6794,0.04411
1234.0042,1.67829,0.04449
1237.4187,1.67719,0.04488
1240,1.67636,0.04517
1240.8337,1.67609,0.04527
1244.2494,1.67498,0.04566
1247.6655,1.67387,0.04605
1250,1.67311,0.04633
1251.0823,1.67276,0.04645
1254.4993,1.67164,0.04685
1257.917,1.67053,0.04725
1260,1.66984,0.0475
1261.3352,1.66941,0.04766
1264.7538,1.66829,0.04807
1268.173,1.66716,0.04847
1270,1.66656,0.0487
1271.5925,1.66604,0.04889
1275.0128,1.66491,0.0493
1278.4333,1.66378,0.04972
1280,1.66326,0.04991
1281.8546,1.66265,0.05014
1285.2762,1.66152,0.05056
1288.6985,1.66038,0.05099
1290,1.65995,0.05115
1292.1212,1.65924,0.05141
1295.5444,1.6581,0.05185
1298.968,1.65696,0.05228
1300,1.65661,0.05241
1302.3923,1.65581,0.05271
1305.817,1.65466,0.05315
1309.2422,1.65351,0.05359
1310,1.65326,0.05369
1312.668,1.65236,0.05404
1316.0941,1.65121,0.05448
1319.5209,1.65005,0.05493
1320,1.64989,0.05499
1322.9481,1.64889,0.05538
1326.3759,1.64773,0.05584
1329.8041,1.64656,0.05629
1330,1.6465,0.05632
1333.2329,1.6454,0.05675
1336.6621,1.64423,0.05722
1340,1.64309,0.05767
1340.0919,1.64306,0.05768
1343.5222,1.64189,0.05815
1346.9529,1.64071,0.05862
1350,1.63966,0.05904
1350.3843,1.63953,0.05909
1353.816,1.63835,0.05957
1357.2483,1.63717,0.06005
1360,1.63622,0.06044
1360.681,1.63598,0.06053
1364.1144,1.6348,0.06102
1367.5481,1.63361,0.0615
1370,1.63276,0.06185
1370.9825,1.63241,0.062
1374.4172,1.63122,0.06249
1377.8527,1.63002,0.06298
1380,1.62927,0.0633
1381.2883,1.62882,0.06348
1384.7247,1.62762,0.06399
1388.1615,1.62642,0.06449
1390,1.62577,0.06476
1391.5989,1.62521,0.065
1395.0367,1.624,0.06551
1398.4751,1.62279,0.06603
1400,1.62225,0.06625
1401.9138,1.62158,0.06654
